id,price,area,age,rooms,distanceToMetro,stationName,distanceSource,longitude,latitude,walkingDistance
YC1096800,2300,31.31,41.2,0,453.6038051557937,劍南路站出口3,永慶房屋,25.0848634,121.5605826,522.721717577623
YC1239502,2680,42.72,41.2,4,1161.3914115261175,文德站,overPass,25.0682298984,121.58684495,1777.6887313542138
YC1173103,2288,34.31,42,8,354.4893115252726,捷運西湖站,永慶房屋,25.0850217,121.5688508,832.9161743380652
YC1219501,1798,28.44,42.1,3,448.86281313575813,文德站出口1,永慶房屋,25.0789460858,121.59015515,665.0053473386554
YC1179006,3350,41.58,45,3,371.6834976015727,港墘站,overPass,25.0822455,121.5722278,374.6114864977896
YC1222411,2480,37.61,39.1,6,129.72588750833663,東湖站出口3,永慶房屋,25.0664313698,121.612813856,157.77055142914747
YC1241093,2680,42.74,38.1,3,689.5026728392113,大湖公園站出口1,永慶房屋,25.0896988358,121.599969455,825.5907940647822
YC1171498,2588,29.45,45.5,2,496.9428199493308,文德站出口2,永慶房屋,25.0760158,121.5803021,720.5281699968174
YC1222402,2480,29.56,45.6,3,284.87019439633957,港墘站出口2,永慶房屋,25.081624077,121.572459450283,273.94574880816486
YC1124473,2980,70.37,40.5,5,990.7621827357876,東湖站,overPass,25.0733235,121.6190213,1157.2803510152112
YC1196197,2850,42.42,44.3,4,593.1474259955351,內湖站,overPass,25.0783287,121.5956462,863.3695548853018
YC1195888,2080,29.45,45.5,4,496.16745125245046,文德站出口2,永慶房屋,25.0759949907,121.580325898,720.5281699968174
YC1224973,2280,36.96,41.2,3,852.9701065801248,內湖站,overPass,25.0879808942,121.587316822,945.1164628292006
YC1125828,3800,70.15,39.5,5,371.4282800076022,捷運西湖站,永慶房屋,25.0847579618268,121.569646139269,644.3790602781398
YC1232781,1880,25.09,40.9,3,976.9897062374886,東湖站,overPass,25.0741840749,121.617847488,1191.6082388392938
YC1198471,2368,34.06,37.4,2,393.39129039399137,大湖公園站出口1,永慶房屋,25.087399,121.601846,604.5855046997651
YC1186811,2500,29.9,46.7,3,611.0557351877314,內湖站出口1,永慶房屋,25.0886137247233,121.591452126372,723.7800057215096
YC1224925,1608,28.19,45.7,3,331.253874465246,東湖站出口3,永慶房屋,25.0676422531,121.614947768,340.39428211371177
YC1223500,2388,34.3,42.1,3,155.18517990495772,文德站出口2,永慶房屋,25.0770864002,121.584965102,695.3367722444991
YC1215959,1980,28.38,45.3,3,609.9823947923079,西湖站出口1,永慶房屋,25.0875115346,121.568664124,1091.262031883913
YC1024429,3380,38.27,45.5,9,582.933296847098,文德站,overPass,25.0783792,121.5907264,764.1096974529172
YC1170848,2388,28.31,43.9,3,315.6600942863728,劍南路站出口3,永慶房屋,25.0853368,121.5590876,415.18787790681495
YC1179304,3000,57.39,37.2,5,351.27582119493746,捷運東湖站,永慶房屋,25.0703234,121.612696,335.47730757195336
YC1222398,2488,31.19,42,3,324.1564205518237,捷運西湖站,永慶房屋,25.0848417281,121.568550071,832.9161743380652
YC1214604,2680,43.33,37.2,4,350.0699137071678,捷運東湖站,永慶房屋,25.0703162307,121.612682508,335.47730757195336
YC1224143,1980,31.08,40.8,3,695.6694023501375,捷運東湖站,永慶房屋,25.0714917268,121.616699064,828.5202881274853
YC1209534,1888,28.58,44.8,3,1014.3762409997556,葫洲站,overPass,25.0765314,121.6164719,1424.5774493393913
YC1223460,1988,28.45,43.3,2,258.17997057164143,西湖站出口1,永慶房屋,25.0844255627,121.567771473,500.163100233426
YC1224063,2880,37.3,40.9,5,532.630702695294,捷運港墘站,永慶房屋,25.0754064882,121.576733152,708.4122108790867
YC1188474,2088,36.89,44.5,7,510.23222433235816,西湖站出口1,永慶房屋,25.0855607477233,121.563039393866,885.3341209059995
YC1168644,2688,35.2,37.2,6,413.2448614835683,捷運內湖站,永慶房屋,25.0816614,121.5907501,508.7277895721646
YC1224976,2990,33.32,50.1,4,514.1155150974732,松山站出口5,永慶房屋,25.0548982973,121.579543802,915.9597524135482
YC1237874,4888,31.55,42.2,2,493.83646309195444,文德站出口1,永慶房屋,25.0832100886,121.585340796,1159.4595550352603
YC1191667,1888,34.64,39.1,2,880.8158127933673,文德站,overPass,25.0717937115463,121.58951475215,1237.0224088404113
YC1186116,1958,25.83,44.4,3,319.22128969794824,港墘站出口1,永慶房屋,25.0795979586597,121.578670058266,382.938938727831
YC1218900,1798,20.1,42.4,2,311.3435031339372,文德站出口2,永慶房屋,25.0757150303,121.585316441,850.9410162196982
YC1228949,2180,23.66,47.7,5,299.1460684639857,內湖站出口1,永慶房屋,25.0857517313885,121.592287526523,452.2152435554697
YC1237921,1938,24.32,38.7,5,149.20639825297016,捷運東湖站,永慶房屋,25.0680065173,121.61281503,107.33798678392807
YC1202218,4380,59.91,35.8,4,1422.3596272541622,文德站,overPass,25.0665637562838,121.589908681615,1973.3208498542344
YC1211350,2750,33.01,42,4,334.0825823125393,捷運西湖站,永慶房屋,25.0848425751,121.568795257,832.9161743380652
YC1185520,2880,34.4,36.6,4,1199.6912197843726,東湖站,overPass,25.0747476239477,121.620396473016,1454.4172215664166
